Confirmed, Key, Source, KOR
,"100000000","序章1　占拠","서장 1 점거"
,"100010000","<color=#9dd0ff>全アーテリーギアに通達します――</color>","<color=#9dd0ff>모든 기동전희에 통달합니다――</color>"
,"100010001","<color=#9dd0ff>現在、高度6000、傀儡感染エリア検知済み。これより各地点への投入を開始します。</color>","<color=#9dd0ff>현재 고도 6000, 괴뢰 감염 영역 검지 완료.지금부터 각 지점에의 투입을 개시합니다.</color>"
,"100010002","<color=#9dd0ff>指揮官との通信を試行中……</color>","<color=#9dd0ff>지휘관과의 통신을 시도중……</color>"
,"100010003","<color=#9dd0ff>……シグナル検出失敗。再度通信を行います……</color>","<color=#9dd0ff>……시그널 검출 실패.다시 통신을 실시합니다……</color>"
,"100010004","<color=#9dd0ff>……接続失敗……予備プランとして、コードAG-01Bニオを呼び出し中。</color>","<color=#9dd0ff>……접속 실패…예비 플랜으로서 코드 AG-01B 니오를 호출중.</color>"
,"100010005","……状況は把握しました。一時的に指揮権を私に移してください。","……상황은 파악했습니다.일시적으로 지휘권을 저에게 옮겨 주십시오."
,"100010006","<color=#9dd0ff>権限確認中……ニオ、階級曹長、識別コードAG-01B。</color>","<color=#9dd0ff>권한 확인중…… 니오, 계급 조장, 식별 코드 AG-01B.</color>"
,"100010007","<color=#9dd0ff>全部隊に通達。ニオ曹長を本作戦の臨時指揮官とし、指揮権を解放しました。</color>","<color=#9dd0ff>전 부대에 통달. 니오 조장을 본 작전의 임시 지휘관으로 하여 지휘권을 해방했습니다.</color>"
,"100010008","各自、直ちにハッチを開いて、衝撃に備えてください。","각자 즉시 해치를 열고 충격에 대비해 주십시오."
,"100010009","……「オートランド号」奪還作戦を開始します！","…… '오토랜드호' 탈환 작전을 개시합니다!"
,"100010010","<color=#969696>指揮官……今すぐ行きます。</color>","<color=#969696>지휘관……지금 바로 가겠습니다.</color>"
,"100020000","<color=#9dd0ff>着地成功、「オートランド号」のデッキに到着しました。</color>","<color=#9dd0ff>착지 성공, '오토랜드호' 갑판에 도착했습니다.</color>"
,"100020001","ブルー、大丈夫ですか？","블루 괜찮아요?"
,"100020002","落下時にちょっとトラブルが起きたけど、怪我はしてないにゃ。問題なく動けるにゃ！","낙하시 조금 문제가 생겼지만, 다치진 않았냐.문제없이 움직일 수 있다냐!"
,"100020003","了解しました。では、私の部隊についてきてください。","알겠습니다. 그럼 제 부대를 따라오세요."
,"100020004","あ、ちょっと待って！","아 잠깐만!"
,"100020005","実は……通信機が壊れちゃって、任務のターゲットが分かんないのにゃ……","실은……통신기가 고장나버려서, 임무의 타겟을 모르는데……"
,"100020006","「ユニオン」艦隊の旗艦「オートランド号」が未確認の傀儡師により襲撃されました。我々の目的は指揮官及び乗組員の救出。","유니언 함대의 기함 오틀랜드 호가 미확인 괴뢰사에 의해 습격당했습니다.우리의 목적은 지휘관 및 승조원 구출."
,"100020007","これが今回の任務の大まかな説明です。","이게 이번 임무에 대한 대략적인 설명입니다."
,"100020008","ニオ曹長、前方より傀儡反応を検出しました。","니오 소장님, 앞쪽에서 괴뢰반응을 검출했습니다."
,"100020009","直ちに作戦を開始してください。各部隊は十字砲火を行い、傀儡化に注意してください！","즉시 작전을 개시해주세요.각 부대는 십자포화를 진행하며 괴뢰화에 주의해주세요!"
,"100030000","傀儡の残骸のデータ分析をお願いします。","괴뢰잔해의 데이터 분석을 부탁드립니다."
,"100030001","承知しました、すぐに開始いたします。","알겠습니다, 곧 시작하겠습니다."
,"100030002","……","……"
,"100030003","DNA分析完了。この傀儡達は……「オートランド号」の乗組員です。","DNA 분석 완료.이 괴뢰들은… '오토랜드호'의 승무원들입니다."
,"100030004","<color=#969696>こんな短時間で傀儡化を……</color>","<color=#969696>이런 단시간에 괴뢰화를......</color>"
,"100030005","<color=#969696>すでに傀儡師がブリッジに侵入している可能性が高いですね。急ぎましょう！</color>","<color=#969696>이미 괴뢰사가 브릿지에 침입했을 가능성이 높죠.서두릅시다!</color>"
,"100030006","偵察隊を3つに分け、デッキ、艦首、艦尾より順番に傀儡師の捜索を――","정찰대를 3개로 나누어 갑판, 함수, 함미보다 차례로 괴뢰사 수색을 --"
,"100030007","……ニオ曹長！","……니오 대장!"
,"100030008","ニオは駆け寄ってくる隊員に視線を向けた。","니오는 달려오는 대원에게 시선을 돌렸다."
,"100030009","どうしましたか？","왜 그러세요?"
,"100030010","隊員は自身の義肢を取り外し、黒い傷口を露わにする。それを見た周りのAGは、すぐさま数歩後退した。","대원들은 자신의 의지를 떼어내고 검은 상처를 드러낸다.그걸 본 주위의 AG는, 금방 몇 걸음 후퇴했다."
,"100030011","……「糸」に侵入されたのですね。","…… '실'에 침입하셨군요."
,"100030012","はい……どうか自爆システムの許可を……","네.... 제발 자폭 시스템의 허가를...."
,"100030013","分かりました、許可します。","알았어요, 허락할게요"
,"100030014","レナス伍長、あなたのことは決して忘れません。","레나스 오장님, 당신을 결코 잊지 않겠습니다."
,"100030015","……ありがとう。","……고마워."
,"100030016","……ドン――","……동--"
,"100030017","自爆システムが発動し、閃光とともに放たれた高熱が一瞬にしてレナスを塵にしてしまう。","자폭시스템이 발동하면서 섬광과 함께 발사된 고열이 순식간에 레너스를 산산조각으로 만든다."
,"100030018","ニオは先程まで戦友が立っていたはずの場所を眺める。その目は微かに潤んでいた……そして、彼女は視線を再び遠くの戦火に戻す。","니오는 조금 전까지 전우가 서 있어야 할 곳을 바라본다.그 눈은 희미하게 머금고 있었다…… 그리고, 그녀는 시선을 다시 먼 전화에 되돌린다."
,"100030019","……やっぱり、AGでも傀儡化を完全に防ぐ方法はないんだにゃ。","……역시, AG에서도 괴뢰화를 완전하게 막을 방법은 없다냥."
,"100030020","傀儡化しちゃえば……待つのは死だけ……","괴뢰화 해버리면....기다리는 것은 죽음뿐...."
,"100030021","その通りです。傀儡化を治療する方法はありません。もし私がそうなった時には、ためらわずに撃ってください。","맞아요. 괴뢰화를 치료할 방법이 없어요.만약에 제가 그렇게 되었을 때는 주저하지 마시고 쏘세요."
,"100030022","そんな不吉なこと言っちゃダメにゃ！","그런 불길한 말을 하면 안 되지!"
,"100030023","こちら偵察隊のシリウス、傀儡師の位置を特定しました。","여기 정찰대의 시리우스 괴뢰사의 위치를 알아냈습니다."
,"100030024","モリスも傀儡師を見付けたよ！機械倉庫の中！","모리스도 괴뢰사를 찾았어!기계창고 안!"
,"100030025","了解、こちらもすぐに向かいます。","알겠습니다, 이쪽도 곧 가겠습니다."
,"100030026","<color=#969696>指揮官……どうかご無事で。</color>","<color=#969696>지휘관…… 부디 무사하시길.</color>"
,"100040000","ブルー、シリウス！大丈夫ですか！？","블루, 시리우스! 괜찮아요!?"
,"100040001","<color=#9dd0ff>あ、あと20体は……いけるにゃ……</color>","<color=#9dd0ff>아, 앞으로 20구는……살 수 있다냐…….</color>"
,"100040002","<color=#9dd0ff>はいはい、じっとしててよね。</color>","<color=#9dd0ff>네네, 가만히 있어</color>"
,"100040003","<color=#9dd0ff>ニオ曹長、ブルーちゃんに浸食された痕跡はなかったよ。</color>","<color=#9dd0ff>니오 조장, 블루짱에 침식된 흔적은 없었어</color>"
,"100040004","<color=#9dd0ff>ブルーちゃんの応急手当が終わったら、すぐに合流するね。</color>","<color=#9dd0ff>블루의 응급처치가 끝나면 바로 합류할께.</color>"
,"100040005","了解しました。ブルー含めボブキャット小隊は後方へ。あとは私たちに任せてください。","알겠습니다. 블루 포함 밥캣 소대는 후방으로. 나머지는 저희에게 맡겨주세요."
,"100040006","攻撃源探知、進捗を報告してください。","공격원 탐지, 진척을 보고해 주십시오."
,"100040007","分析完了……","분석완료……"
,"100040008","この反応は……傀儡師……！","이 반응은.... 괴뢰사....!"
,"100040009","██████","██████"
,"100040010","攻撃を止めないで、接近を遅らせるのです！","공격을 멈추지 않고 접근을 늦추는 겁니다!"
,"100040011","<color=#969696>くっ……通常の武器ではもうダメージを与えられない……このままでは、中にいる指揮官や他の皆さんが……</color>","<color=#969696>큭…일반적인 무기로는 더 이상 데미지를 줄 수 없다…이대로는, 안에 있는 지휘관이나 다른 여러분이……</color>"
,"100040012","AG-047ゴースト、作戦に参加しました。","AG-047 고스트, 작전에 참가했습니다."
,"100040013","ニオ曹長、指示をどうぞ。","니오 소장님, 지시 부탁드립니다."
,"100040014","ゴースト？……あの精鋭部隊の隊長ですね。助力に感謝します。","고스트? …… 그 정예부대의 대장이군요.조력에 감사드립니다."
,"100040015","どうか私とともに、皆さんを助け出してください！","부디 저와 함께, 여러분을 구해 주십시오!"
,"100050000","ここまでですか……","여기까지입니까……"
,"100050001","ニオ曹長！","니오 조장님!"
,"100050002","全員、今のうちに早く……ブリッジへ……指揮官を……","전원, 지금 빨리.... 브리지로.... 지휘관을...."
,"100050003","でも、曹長が傀儡になったら……！","하지만 조장이 괴뢰가 되면.......!"
,"100050004","ニオは視界の端で自身の手の平をチラリと確認する。","니오는 시야 가장자리에서 자신의 손바닥을 살짝 확인한다."
,"100050005","私に考えがあります。直ちに命令に従ってください！","저에게 생각이 있습니다.당장 명령에 따라주십시오!"
,"100050006","……はい！","……네!"
,"100050007","███████——","███████——"
,"100050008","ニオの指示に従い、すべての隊員がその場を離れた。","니오의 지시에 따라 모든 대원이 자리를 떴다."
,"100050009","<color=#969696>ブリッジにはまだ生体反応があります。ここで傀儡師を引き留めることができれば、救援隊は無事にブリッジに辿り着ける……！</color>","<color=#969696>브릿지에는 아직 생체반응이 있어요.여기서 괴뢰사를 붙잡을 수 있다면, 구원대는 무사히 브리지에 도달할 수 있다……!</color>"
,"100050010","██████","██████"
,"100050011","突如、傀儡師は赤い光を発しながら、巨大な翼の片方を機械倉庫の天井に向けた。","갑자기 괴뢰사는 붉은 빛을 발하며 거대한 날개 한 쪽을 기계창고 천장으로 향했다."
,"100050012","強いエネルギー反応！？ここの真上は……ブリッジ……！","강한 에너지 반응!?여기 바로 위는... 브릿지...!"
,"100050013","なにをするつもり！？","무엇을 하려고!?"
,"100050014","ドン！という音ともに、ブリッジの中心部が傀儡師の放った炎によって一瞬で飲み込まれる。ニオの頭上を熱風が吹き抜けていった。","쿵! 하는 소리와 함께 브리지 중심부가 괴뢰사가 쏜 불길에 순식간에 삼켜진다.니오의 머리 위로 열풍이 불어갔다."
,"100050015","うそ……ブリッジの生命反応が……消えた？","거짓말... 브릿지의 생명반응이... 사라졌어?"
,"100050016","███████!","███████!"
,"100050017","<color=#9dd0ff>ニオ曹長、こちら傀儡によりデッキに閉じ込められました。どうか増援を……</color>","<color=#9dd0ff>니오 조장님, 여기 괴뢰들에 의해 갑판에 갇혔습니다.부디 증원을……</color>"
,"100050018","<color=#9dd0ff>報告！傀儡の数が増え続けているため、援護射撃は一時中断します！</color>","<color=#9dd0ff>보고! 괴뢰들의 수가 계속 증가하고 있어 엄호사격은 일시 중단됩니다!</color>"
,"100050019","<color=#9dd0ff>「オートランド号」の制御中枢が傀儡に侵入されました！救援作戦の続行は困難です、次のご指示を！</color>","<color=#9dd0ff>'오토랜드호'의 제어중추가 괴뢰들에게 침입되었습니다!구조 작전의 속행은 어렵습니다, 다음 지시를!</color>"
,"100050020","ノイズと共に、各通信から援護失敗の情報が流れてくる。","노이즈와 함께 각 통신에서 엄호 실패 정보가 흘러나온다."
,"100050021","私は失敗したのですか……「オートランド号」が傀儡に奪われただけでなく……","나는 실패했습니까…….'오토랜드호'가 괴뢰들에게 빼앗겼을 뿐만 아니라……"
,"100050022","指揮官も……助けられなかったなんて。","지휘관도……도와주지 못했다니."
,"100050023","█████████","█████████"
,"100050024","傀儡……地球と人類を乗っ取ろうとする存在……","괴뢰.... 지구와 인류를 탈취하려는 존재...."
,"100050025","たとえ今回の作戦が失敗だったとしても……","비록 이번 작전이 실패였다고 해도……."
,"100050026","人類は絶対に負けません！","인류는 절대 지지 않습니다!"
,"100050027","炎に包まれる中、ニオは拳を強く握りしめた。","불길에 휩싸이는 가운데 니오는 주먹을 불끈 쥐었다."
,"100050028","全部隊に通達。直ちに「オートランド号」から撤退してください。","전 부대에 통보. 즉시 '오토랜드호'에서 철수하세요."
,"100050029","私は自分のコアを起爆し、傀儡を道連れにします。","저는 제 코어를 기폭하여 괴뢰들을 길동무로 삼겠습니다."
,"100050030","最後の指示を告げ、ニオは通信を切る。","마지막 지시를 고하고 니오는 통신을 끊는다."
,"100050031","起動まで……5……4……3……","기동까지……5…4…3…"
,"100050032","<color=#969696>私が手にかけてしまった戦友たち……ごめんなさい……</color>","<color=#969696>내가 손에 걸어버린 전우들... 미안해요...</color>"
,"100050033","2――","2――"
,"100050034","<color=#969696>もう一度……海の音が聞きたかったな……</color>","<color=#969696>다시 한번......바다의 소리가 듣고 싶었네......</color>"
,"100050035","え！？","에!?"
,"100050036","どうして……なんで止まったの！？こんな時に故障だなんて！","어째서……왜 멈췄어!?이럴 때 고장이라니!"
,"100050037","████████","████████"
,"100050038","ニオの自爆に気付いた上級傀儡師は、巨大な翼を広げ生物を傀儡化させる「糸」を放った、その瞬間――","니오의 자폭을 깨달은 상급 괴뢰사는 거대한 날개를 펴고 생물을 괴뢰화시키는 '실'을 쏜 그 순간--"
,"100050039","どこからともなく放たれたエネルギー光線が、傀儡師の「糸」を焼き尽くした。","어디선가 쏟아진 에너지 광선이 괴뢰사의 실을 태워 버렸다."
,"100050040","そして、立ち込める煙の中から……人影が現れる。","그리고, 자욱한 연기 속에서……사람의 그림자가 나타난다."
,"100050041","……まさか……","……설마…"
,"100050042","指揮官……！本当に指揮官なのですか？","지휘관...! 정말로 지휘관입니까?"
,"100050043","指揮官、その怪我……いえ、今は緊急事態です。すぐにここから脱出してください。","지휘관님, 그 부상…아뇨, 지금은 긴급사태입니다.당장 여기서 탈출하세요."
,"100050044","私はもう一度コアを起爆させ、指揮官の退路を――","나는 다시 한번 코어를 기폭시켜 지휘관의 퇴로를---"
,"100050045","……もしかして、私の自爆命令を中断させたのは指揮官なのですか？","혹시 저의 자폭명령을 중단시킨것은 지휘관입니까?"
,"100050046","指揮官……無理をしないでください！生体反応が不安定です、すぐに手当をしないと！","지휘관... 무리하지마세요!생체반응이 불안정합니다, 즉시 조치를 취해야 합니다!"
,"100050047","――！","――！"
,"100050048","傀儡師が艦内にいるなら、衛星兵器を使えばいい。ここからは……私の指示に従ってもらうよ。","괴뢰사가 함내에 있다면 위성무기를 사용하면 된다.지금부터는……내 지시에 따라 줄게."
,"100050049","はい、すぐに行動を開始します！","네, 바로 행동을 개시하겠습니다!"
,"100050050","ニオと指揮官は自分たちの傷の痛みも忘れ、短い会話を交わす。そして、ニオは上級傀儡師に再び突っ込んでいく。","니오와 지휘관은 자기들 상처의 아픔도 잊고 짧은 대화를 나눈다.그리고 니오는 상급 괴뢰사에게 다시 돌진한다."
,"100050051","██████████","██████████"
,"100050052","傀儡師……！","괴뢰사.......!"
,"100050053","人類は今、この瞬間より――","인류는 지금 이 순간보다 --"
,"100050054","――すべての傀儡をこの世界から……殲滅します！","--모든 괴뢰들을 이 세계에서… 섬멸하겠습니다!"
,"100060000","衛星兵器の閃光が炸裂し「オートランド号」の船首を貫通した。一瞬にして引き裂かれた艦体は、燃え盛る傀儡師と共に海の中へと落ちていく。","위성 병기의 섬광이 작렬해 오틀랜드호의 뱃머리를 관통했다.순식간에 찢겨진 함체는 활활 타오르는 괴뢰사와 함께 바닷속으로 빠져 들어간다."
,"100060001","あたしたちの助けはもう必要ないみたいっすよ。","우리의 도움은 이제 필요없는 것 같아요."
,"100060002","自分たちの戦艦に向かって衛星兵器を使うなんて、ずいぶん思い切ったことをしたっすね。","자신들의 전함을 향해 위성 무기를 사용하다니, 꽤 과감한 짓을 했네요."
,"100060003","衛星兵器はオートルナのものだ、勝手な使用は許可されていない。","위성 무기는 오토루나의 것이다, 제멋대로의 사용은 허가되지 않았다."
,"100060004","首脳、あの艦隊……「ユニオン」の権限は一体どれほどのものなのです？","수뇌, 저 함대…… '유니온'의 권한은 도대체 어느 정도입니까?"
,"100060005","「ユニオン」はフロンティアとオートルナが共同で設立した艦隊だ。","유니언은 프런티어와 오토루나가 공동으로 설립한 함대다."
,"100060006","しかし、独断による衛星兵器の使用は明らかに権限の範疇を超えている。オートルナ、今回の行動はそちらに責任があると認識してもいいだろうか？","그러나 독단을 통한 위성무기 사용은 명백히 권한의 범주를 벗어난다.오토루나, 이번 행동은 그쪽에 책임이 있다고 인식해도 될까?"
,"100060007","<color=#9dd0ff>申し訳ございません、フロンティア首脳。</color>","<color=#9dd0ff>죄송합니다, 프런티어 정상.</color>"
,"100060008","<color=#9dd0ff>衛星兵器はオートルナが「ユニオン」に供与した支援武器であり、「ユニオン」にも一次使用の権限があります。緊急事態であったため、現場指揮官の判断に従い発射されました。</color>","<color=#9dd0ff>위성 병기는 오토루나가 “유니온”에 공여한 지원 무기이며, “유니온”에도 1차 사용 권한이 있습니다.긴급사태였기 때문에 현장 지휘관의 판단에 따라 발사되었습니다.</color>"
,"100060009","つまり「緊急事態」であれば、地上の各都市はいつでも衛星兵器に攻撃される可能性があると、そう解釈してもいいのだな？","즉 '긴급사태'라면 지상 각 도시는 언제든지 위성 무기에 공격받을 수 있다고 그렇게 해석해도 되는 건가?"
,"100060010","<color=#9dd0ff>まさか。あなたのような優秀なAIがいらっしゃるのですから、衛星兵器でも地上を脅かすのは難しいでしょう……</color>","<color=#9dd0ff>설마. 당신 같은 우수한 AI가 계시니까, 위성 무기로도 지상을 위협하는 것은 어렵겠지요…….</color>"
,"100060011","<color=#9dd0ff>それに、全人類が脅威に直面している今、我々が先に対処せねばならないのは傀儡です。</color>","<color=#9dd0ff>게다가 전 인류가 위협에 직면해 있는 지금, 우리가 먼저 대처해야 할 것은 괴뢰들입니다.</color>"
,"100060012","はっきり答えないのだな？","확실히 대답하지 않는구나?"
,"100060013","まあいい、オートルナの統治形態を考えれば、確かにあなたにその解答権限はない。","뭐 됐어, 오토루나의 통치 형태를 생각하면, 확실히 당신에게 그 해답 권한은 없어."
,"100060014","あなたたちの女王に伝えてくれ。我々には衛星兵器に対する対抗策がある、もし再度独断で使用するようなことがあれば、フロンティアは相応の対応を取る、とな。","너희 여왕에게 전해줘.우리에게는 위성 무기에 대한 대항책이 있다, 만약 다시 독단으로 사용할 일이 생기면, 프런티어는 상응하는 대응을 한다, 라고 말이야."
,"100060015","<color=#9dd0ff>かしこまりました、必ずお伝えします。</color>","<color=#9dd0ff>알겠습니다. 꼭 전해드리겠습니다.</color>"
,"100060016","首脳は通信を切った。","수뇌는 통신을 끊었다."
,"100060017","いったん、オートルナに関する問題は優先度を下げる。もはや「ユニオン」という存在は無視できるものではない。","일단 오토루나에 관한 문제는 우선순위를 낮춘다.유니언이란 존재는 더는 무시할 수 없다."
,"100060018","あの指揮官は短時間で針の穴を通すような作戦を立て、さらにAGは高いリスクを背負いながらもそれを遂行した。","그 지휘관은 단시간에 바늘구멍을 뚫는 작전을 세웠고, 게다가 AG는 높은 리스크를 짊어지면서도 그것을 수행했다."
,"100060019","「ユニオン」は、この戦争にどのような影響をもたらすのだろうな。","유니언은 이 전쟁에 어떤 영향을 미칠까."
,"100060020","治療が無事終わりました、再度の乗船を歓迎します。","치료가 무사히 끝났습니다, 재 승선을 환영합니다."
,"100060021","そうだ、まずはお礼を言わないとですね！","맞다, 일단 감사드려야죠!"
,"100060022","傀儡師がブリッジを攻撃した時に、指揮官が私たちを緊急指揮室に避難させてくれたおかげで無事だったのですから。","괴뢰사가 브릿지를 공격했을 때 지휘관이 우리를 긴급 지휘실로 대피시켜 준 덕분에 무사했으니까요."
,"100060023","なんだか不思議そうな顔をしてますね……あ！自己紹介がまだでした！","어쩐지 이상한 얼굴을 하고 있네요…아! 제 소개가 아직 안 됐어요!"
,"100060024","私はカペラ、指揮官と同様「ユニオン」艦隊に配属されました。","저는 카펠라, 지휘관과 마찬가지로 '유니온' 함대에 배속되었습니다."
,"100060025","これからは副官として、指揮官を補佐していきます。","앞으로는 부관으로 지휘관을 보좌해 나가겠습니다."
,"100060026","先程の戦いで、あなたはすでに指揮官としての指揮能力と決断力を十分に発揮しました。それによりフロンティアとオートルナはあなたを――正式に「ユニオン」艦隊の指揮官に任命したんです。","조금 전 싸움에서 당신은 이미 지휘관으로서의 지휘능력과 결단력을 충분히 발휘했습니다.그로 인해 프런티어와 오토루나는 당신을--정식으로 '유니온' 함대의 지휘관으로 임명했습니다."
,"100060027","それに伴い、ニオさんたちAADも「ユニオン」に配属されることとなります。","이에 따라 니오씨들 AAD도 '유니온'에 배속되게 됩니다."
,"100060028","ですが、今は少々問題が発生していて……","하지만, 지금은 조금 문제가 발생하고 있어……."
,"100060029","衛星兵器が「オートランド号」の船首を撃ち抜いてしまったせいで、修理班が各モジュールの修理を急いでいます。","위성 무기가 '오토랜드호'의 뱃머리를 꿰뚫는 바람에 수리반이 각 모듈의 수리를 서두르고 있어요."
,"100060030","ですので……あなたの指揮官としての初仕事は……","그러므로 .... 당신의 지휘관으로서의 첫일은 ...."
,"100060031","戦艦の損害状況を確認し、この修理リストにサイン、そして指紋登録をしていただくことです。","전함의 피해 상황을 확인하고 이 수리 목록에 사인, 그리고 지문 등록을 하는 것입니다."
,"100110000","リストのチェックは問題ないようですね。そして、この艦隊の指揮官としての登録も無事完了しました。","리스트 체크는 문제 없을 것 같군요.그리고 이 함대의 지휘관 등록도 무사히 완료되었습니다."
,"100110001","あはは……「オートランド号」は建造が完成した後、進水式をする前に傀儡の襲撃を受けたので……","아하하하… '오토랜드호'는 건조가 완성된 후 진수식을 하기 전에 괴뢰들의 습격을 받았기 때문에……"
,"100110002","ですが、今後この「オートランド号」は支援補給艦と合流して艦隊を編成し、正式にあなたの指揮本部となります。","하지만, 향후 이 '오토랜드호'는 지원보급함과 합류하여 함대를 편성하고, 정식으로 귀하 지휘본부가 될 것입니다."
,"100110003","その通りです。「ユニオン」は特別な作戦部隊として、フロンティアとオートルナ双方のAGを動員することが可能です。","맞습니다. “유니온”은 특별한 작전 부대로서 프런티어와 오토루나 쌍방의 AG를 동원할 수 있습니다."
,"100110004","<color=#969696>「ユニオン」……確かにすごく特殊みたいだ。</color>","<color=#969696>'유니온'……확실히 굉장히 특수한 것 같다.</color>"
,"100110005","フロンティアは、傀儡戦争勃発後に、地上の国々により結成された反傀儡国家連盟である。","프런티어는 괴뢰전쟁 발발 후에 지상국가들에 의해 결성된 반괴국가연맹이다."
,"100110006","当初は国家同士が互いを認めず、連盟は機能しなかった。しかし、地上の大半を傀儡に奪われたころ、ようやく統治者たちは力を合わせることにしたのだ。","당초에는 국가끼리 서로 인정하지 않아 연맹이 제 기능을 하지 못했다.그러나 지상의 대부분을 괴뢰들에게 빼앗길 무렵에야 통치자들은 힘을 합치기로 한 것이다."
,"100110007","その後、フロンティアは地上の多くを放棄し傀儡に奪わせることで時間を稼ぎ、各国の兵力と資源を集結させた。そして、とあるスーパーAIに全軍の指揮を任せたのである。","이후 프런티어는 지상의 많은 부분을 포기하고 괴뢰들에게 빼앗김으로써 시간을 벌었고 각국의 병력과 자원을 집결시켰다.그리고 한 슈퍼 AI에게 전군의 지휘를 맡긴 것이다."
,"100110008","一方オートルナは、もともとフロンティアが宇宙実験を行うためのスペースコロニーであった。","한편 오토루나는 원래 프런티어가 우주실험을 행하기 위한 스페이스 콜로니였다."
